Namn	Id
Brattåsmotet västerut	SE_STA_CAMERA_Orion_4500084
Almökrysset österut	SE_STA_CAMERA_Orion_4500057
Bur nordöst	SE_STA_CAMERA_Orion_4500116
Bur sydväst	SE_STA_CAMERA_Orion_4500117
Bäckebolsmotet norrut	SE_STA_CAMERA_Orion_4500038
Bäckebolsmotet söderut	SE_STA_CAMERA_Orion_4500039
Börringekloster Nordväst	SE_STA_CAMERA_Orion_2500040
Börringekloster Öst	SE_STA_CAMERA_Orion_2500039
Cedersdalsgatan	SE_STA_CAMERA_Orion_309
Danderyds gymnasium	SE_STA_CAMERA_Orion_267
Danvikstull	SE_STA_CAMERA_Orion_316
Delsjömotet Västra nordväst	SE_STA_CAMERA_PacificWest_4500139
Ekhagen	SE_STA_CAMERA_Pacific_579
Ektorp	SE_STA_CAMERA_Orion_566
Kärra Norrleden västerut	SE_STA_CAMERA_Orion_4500021
Eriksberg	SE_STA_CAMERA_Orion_418
Kärra Norrleden österut	SE_STA_CAMERA_Orion_4500024
Eriksbergsmotet Öst västerut	SE_STA_CAMERA_PacificWest_4500118
Eriksbergsmotet Öst österut	SE_STA_CAMERA_PacificWest_4500119
Ersboda	SE_STA_CAMERA_Orion_489
Erikssundsbron	SE_STA_CAMERA_Orion_450
Essingebron	SE_STA_CAMERA_Orion_385
Fiskhamnsmotet österut	SE_STA_CAMERA_PacificWest_4500153
Fiskhamnsmotet västerut	SE_STA_CAMERA_PacificWest_4500154
Flaggplan	SE_STA_CAMERA_0_602
Fittja	SE_STA_CAMERA_Orion_436
Flygplatsmotet NV	SE_STA_CAMERA_Orion_4500026
Flädie Norr	SE_STA_CAMERA_Orion_2500030
Flädie Söder	SE_STA_CAMERA_Orion_2500031
Fornhöjden norra	SE_STA_CAMERA_Orion_551
Fredriksberg Norr	SE_STA_CAMERA_Orion_2500009
Fredriksberg Sydväst	SE_STA_CAMERA_Orion_2500008
Frösvitunneln väst	SE_STA_CAMERA_Orion_406
Frösvitunneln öst	SE_STA_CAMERA_Orion_405
Fårberget	SE_STA_CAMERA_Orion_425
Gamla Apoteket	SE_STA_CAMERA_Orion_379
Gastelyckan Norr	SE_STA_CAMERA_Orion_2500020
Gastelyckan Söder	SE_STA_CAMERA_Orion_2500021
Getan	SE_STA_CAMERA_Orion_490
Getasjön norra	SE_STA_CAMERA_Orion_491
Getasjön södra	SE_STA_CAMERA_Orion_492
Getryggen	SE_STA_CAMERA_Orion_428
Glumslöv norrut	SE_STA_CAMERA_PacificSouth_2500082
Glumslöv söderut	SE_STA_CAMERA_PacificSouth_2500083
Grisslinge	SE_STA_CAMERA_Orion_342
Gullbergsmotet Norra norrut	SE_STA_CAMERA_PacificWest_4500150
Gullbergsmotet Västra nordöst	SE_STA_CAMERA_Orion_4500066
Gullbergsmotet Västra västerut	SE_STA_CAMERA_Orion_4500068
Gullbergsmotet Västra österut	SE_STA_CAMERA_Orion_4500067
Gullbergsmotet Östra Sydväst	SE_STA_CAMERA_Orion_4500104
Gullbergsmotet Östra nordost	SE_STA_CAMERA_Orion_4500103
Gårdamotet Norrut	SE_STA_CAMERA_Orion_4500013
Gårdamotet Söderut	SE_STA_CAMERA_Orion_4500014
Gårdstånga västerut	SE_STA_CAMERA_PacificSouth_2500091
Gårdstånga österut	SE_STA_CAMERA_PacificSouth_2500090
Aspen N	SE_STA_CAMERA_Orion_423
Göteborgsbacken Bårarp österut	SE_STA_CAMERA_PacificSouth_2500070
Betalstation Lilla Essingen	SE_STA_CAMERA_Pacific_367
Göteborgsbacken Bårarp västerut	SE_STA_CAMERA_PacificSouth_2500071
Göteborgsbacken Haga nordost	SE_STA_CAMERA_PacificSouth_2500068
Göteborgsbacken Haga söderut	SE_STA_CAMERA_PacificSouth_2500069
Götgatan-Ringvägen mot Medborgarplatsen	SE_STA_CAMERA_Orion_322
Götgatan-Ringvägen mot Renstiernas gata	SE_STA_CAMERA_Orion_325
Götgatan-Ringvägen mot Skanstullsbron	SE_STA_CAMERA_Orion_323
Götgatan-Ringvägen mot SÖS	SE_STA_CAMERA_Orion_324
Haga norra grindar	SE_STA_CAMERA_Orion_572
Haga södra grindar	SE_STA_CAMERA_Pacific_591
Hagaberg södra	SE_STA_CAMERA_Orion_554
Hallandsås Norra norrut	SE_STA_CAMERA_PacificSouth_2500054
Hallandsås Södra söderut	SE_STA_CAMERA_PacificSouth_2500055
Hallandsås Södra norrut	SE_STA_CAMERA_PacificSouth_2500056
Hallandsås Norra söderut	SE_STA_CAMERA_PacificSouth_2500053
Hallinge	SE_STA_CAMERA_Orion_493
Hallsta	SE_STA_CAMERA_Orion_494
Hallunda norra	SE_STA_CAMERA_Orion_417
Hallunda södra	SE_STA_CAMERA_Orion_415
Hammarby prästgård	SE_STA_CAMERA_Orion_421
Hanstavägen vid Ärvinge	SE_STA_CAMERA_Orion_456
Hedenstorp norrut	SE_STA_CAMERA_PacificSouth_2500075
Hedenstorp söderut	SE_STA_CAMERA_PacificSouth_2500074
Helenelund	SE_STA_CAMERA_Orion_384
Helsingborg Södra norrut	SE_STA_CAMERA_PacificSouth_2500050
Helsingborg Södra västerut	SE_STA_CAMERA_PacificSouth_2500052
Herrestad västerut	SE_STA_CAMERA_Orion_4500069
Herrestad österut	SE_STA_CAMERA_Orion_4500070
Hindby Väster	SE_STA_CAMERA_Orion_2500006
Hindby Norr	SE_STA_CAMERA_Orion_2500005
Hjulstabron	SE_STA_CAMERA_Pacific_588
Hjällbo söderut	SE_STA_CAMERA_Orion_4500042
Hjärup Sydväst	SE_STA_CAMERA_Orion_2500025
Hjärup Nordöst	SE_STA_CAMERA_Orion_2500024
Hornsg.-Långholmsg. mot Liljeholmsbron	SE_STA_CAMERA_Orion_321
Hornsg.-Långholmsg. mot Slussen	SE_STA_CAMERA_Orion_319
Hornsg-Långholmsg. mot Liljeholmsbadet	SE_STA_CAMERA_Orion_318
Hornsg.-Långholmsg. mot Västerbron	SE_STA_CAMERA_Orion_320
Hovsta	SE_STA_CAMERA_Orion_427
Hovåsmotet norrut	SE_STA_CAMERA_Orion_4500044
Hovåsmotet söderut	SE_STA_CAMERA_Orion_4500043
Hulanmotet sydväst	SE_STA_CAMERA_Orion_4500055
Hurva norrut	SE_STA_CAMERA_PacificSouth_2500078
Hurva söderut	SE_STA_CAMERA_PacificSouth_2500079
Jordfallsbron Öst österut	SE_STA_CAMERA_Orion_4500008
Jonseredsmotet ost	SE_STA_CAMERA_Orion_4500046
Igelsjön	SE_STA_CAMERA_Orion_495
Härlöv Norr	SE_STA_CAMERA_Orion_2500022
Jordfallsmotet norrut	SE_STA_CAMERA_Orion_4500009
Härlöv Söder	SE_STA_CAMERA_Orion_2500023
Häggvikstunneln	SE_STA_CAMERA_Orion_355
Jordfallsmotet söderut	SE_STA_CAMERA_Orion_4500007
Järnbrott väg 158 norrut	SE_STA_CAMERA_PacificWest_4500135
Järnbrott väg 158 söderut	SE_STA_CAMERA_PacificWest_4500136
Ivarsbergsmotet norrut	SE_STA_CAMERA_Orion_4500089
Järnbrottsmotet högmast	SE_STA_CAMERA_PacificWest_4500133
Järnbrottsmotet västerut	SE_STA_CAMERA_PacificWest_4500134
Järnbrottsmotet Öst västerut	SE_STA_CAMERA_PacificWest_4500137
Järnbrottsmotet Öst österut	SE_STA_CAMERA_PacificWest_4500138
Kallebäcksmotet S norrut	SE_STA_CAMERA_Orion_4500100
Kallebäcksmotet norrut	SE_STA_CAMERA_Orion_4500017
Kallebäcksmotet Östra Österut	SE_STA_CAMERA_Orion_4500018
Betalstation Drottningholmsvägen	SE_STA_CAMERA_Orion_365
Kalvsvik	SE_STA_CAMERA_Orion_400
Karlberg	SE_STA_CAMERA_Orion_298
Kontrollplats Hagby	SE_STA_CAMERA_Orion_356
Korpberget	SE_STA_CAMERA_Orion_496
Kronetorp Norr	SE_STA_CAMERA_Orion_2500016
Kronåsen mot Stockholm	SE_STA_CAMERA_Orion_382
Kronetorp Sydväst	SE_STA_CAMERA_Orion_2500017
Kropp Södra norrut	SE_STA_CAMERA_PacificSouth_2500086
Kropp österut	SE_STA_CAMERA_PacificSouth_2500085
Kropp västerut	SE_STA_CAMERA_PacificSouth_2500084
Kungsbacka syd NV	SE_STA_CAMERA_Orion_4500060
Kungsbacka Syd SO	SE_STA_CAMERA_Orion_4500061
Kungshamra västra	SE_STA_CAMERA_Orion_517
Kungsstensmotet Nordöst	SE_STA_CAMERA_PacificWest_4500121
Kungsstensmotet Sydväst	SE_STA_CAMERA_PacificWest_4500122
Kungsörsbron	SE_STA_CAMERA_Pacific_586
Kungälvsmotet	SE_STA_CAMERA_Orion_4500022
Kungälvsmotet	SE_STA_CAMERA_Orion_4500003
Rödbomotet Norra	SE_STA_CAMERA_Orion_4500001
Rödbomotet Norra	SE_STA_CAMERA_Orion_4500002
Kvarndammen	SE_STA_CAMERA_Orion_4500010
Kvicksundsbron	SE_STA_CAMERA_Pacific_585
Kålleredsmotet norrut	SE_STA_CAMERA_Orion_4500019
Kålleredsmotet söderut	SE_STA_CAMERA_Orion_4500023
Landvettermotet Västerut	SE_STA_CAMERA_Orion_4500027
Kärragård CPL norrut	SE_STA_CAMERA_Orion_4500071
Kärragård CPL söderut	SE_STA_CAMERA_Orion_4500072
Leråkersmotet nordöst	SE_STA_CAMERA_Orion_4500112
Kärragård CPL västerut	SE_STA_CAMERA_Orion_4500073
Leråkersmotet sydväst	SE_STA_CAMERA_Orion_4500113
Kärragård CPL österut	SE_STA_CAMERA_Orion_4500074
Liljeholmsbron	SE_STA_CAMERA_Orion_317
Lilla Frescati	SE_STA_CAMERA_Orion_295
Lindeborg Söder	SE_STA_CAMERA_Orion_2500010
Lindeborg Väster	SE_STA_CAMERA_Orion_2500011
Lindholmsmotet Öst nordöst	SE_STA_CAMERA_PacificWest_4500148
Lindholmsmotet Öst sydväst	SE_STA_CAMERA_PacificWest_4500149
Lindhov	SE_STA_CAMERA_Orion_426
Ljungarum västerut	SE_STA_CAMERA_PacificSouth_2500067
Lindomemotet	SE_STA_CAMERA_Orion_4500028
Lomma Söder	SE_STA_CAMERA_Orion_2500032
Botkyrka kyrka	SE_STA_CAMERA_Orion_419
Lund Södra Sydväst	SE_STA_CAMERA_Orion_2500015
Lomma Norr	SE_STA_CAMERA_Orion_2500033
Lund norra norrut	SE_STA_CAMERA_PacificSouth_2500047
Ljungarum österut	SE_STA_CAMERA_PacificSouth_2500066
Lund Södra Nordöst	SE_STA_CAMERA_Orion_2500014
Lund Norra Söder	SE_STA_CAMERA_Orion_2500019
Lärjemotet nordväst	SE_STA_CAMERA_Orion_4500047
Löddeköpinge Nordväst	SE_STA_CAMERA_Orion_2500034
Löddeköpinge Sydöst	SE_STA_CAMERA_Orion_2500035
Maglarp Nordväst	SE_STA_CAMERA_Orion_2500037
Tpl Almnäs	SE_STA_CAMERA_Orion_441
Bulltofta österut	SE_STA_CAMERA_Orion_2500004
Marinstaden	SE_STA_CAMERA_Orion_348
Maglarp Sydväst	SE_STA_CAMERA_Orion_2500038
Marieholmsmotet norrut	SE_STA_CAMERA_Orion_4500064
Masmo	SE_STA_CAMERA_Orion_438
Marieholmsmotet söderut	SE_STA_CAMERA_Orion_4500065
Motorvägsbron södra	SE_STA_CAMERA_Orion_567
Mellanjärva	SE_STA_CAMERA_Pacific_539
Munkebäcksmotet västerut	SE_STA_CAMERA_Orion_4500063
Munkebäcksmotet österut	SE_STA_CAMERA_Orion_4500062
Mölnlyckemotet västerut	SE_STA_CAMERA_PacificWest_4500124
Mölnviksrondellen	SE_STA_CAMERA_Orion_343
Moraberg norra	SE_STA_CAMERA_Orion_497
Mölnlyckemotet österut	SE_STA_CAMERA_PacificWest_4500123
Naffentorp Norra Öster	SE_STA_CAMERA_Orion_2500028
Moraberg södra	SE_STA_CAMERA_Orion_506
Bagghusbron	SE_STA_CAMERA_Pacific_592
Naffentorp Södra Väster	SE_STA_CAMERA_Orion_2500027
Naffentorp Norra Väster	SE_STA_CAMERA_Orion_2500029
Motorvägsbron	SE_STA_CAMERA_Orion_390
Motorvägsbron Norra	SE_STA_CAMERA_Orion_389
Naturhistoriska	SE_STA_CAMERA_Pacific_578
Naffentorp Södra Öster	SE_STA_CAMERA_Orion_2500026
Norrviken	SE_STA_CAMERA_Orion_368
Nedre Söderby	SE_STA_CAMERA_Orion_430
Norrviksleden	SE_STA_CAMERA_Orion_358
Nockebybron	SE_STA_CAMERA_Orion_449
Norgegatan	SE_STA_CAMERA_Orion_252
Olskroksmotet Ö nordost	SE_STA_CAMERA_PacificWest_4500129
Norrsunda	SE_STA_CAMERA_Orion_377
Olskroksmotet Ö sydväst	SE_STA_CAMERA_PacificWest_4500130
Nytorp	SE_STA_CAMERA_Orion_498
Betalstation Motala	SE_STA_CAMERA_Orion_509
Norrsättra	SE_STA_CAMERA_Orion_352
Partillemotet Västerut	SE_STA_CAMERA_Orion_4500029
Partillemotet Österut	SE_STA_CAMERA_Orion_4500030
Pershagen	SE_STA_CAMERA_Orion_402
Askimsbadet söderut	SE_STA_CAMERA_Orion_4500041
Norrtull mot E4	SE_STA_CAMERA_Orion_364
Odengatan/Sveavägen	SE_STA_CAMERA_Orion_311
Odengatan-Sveavägen mot Valhallavägen	SE_STA_CAMERA_Orion_307
Peppared norrut	SE_STA_CAMERA_Orion_4500108
Petersborg Norr	SE_STA_CAMERA_Orion_2500012
Peppared söderut	SE_STA_CAMERA_Orion_4500107
Rödastensmotet norrut	SE_STA_CAMERA_Orion_4500091
Petersborg Söder	SE_STA_CAMERA_Orion_2500013
Rödastensmotet söderut	SE_STA_CAMERA_Orion_4500092
Rödbomotet Norrut	SE_STA_CAMERA_Orion_4500006
Rotsunda	SE_STA_CAMERA_Orion_381
Salem norra	SE_STA_CAMERA_Orion_433
Bornsjön	SE_STA_CAMERA_Orion_429
Olseröd norrut	SE_STA_CAMERA_PacificSouth_2500077
Rödbomotet Österut	SE_STA_CAMERA_Orion_4500005
Salem södra	SE_STA_CAMERA_Orion_500
Salems kyrka	SE_STA_CAMERA_Orion_432
Olseröd söderut	SE_STA_CAMERA_PacificSouth_2500076
Rönninge	SE_STA_CAMERA_Orion_499
Sallerup Norr	SE_STA_CAMERA_PacificSouth_2500045
Slagsta	SE_STA_CAMERA_Orion_437
Spillepengen sydöst	SE_STA_CAMERA_PacificSouth_2500087
Sandsjöbacka faunabro norrut	SE_STA_CAMERA_PacificWest_4500143
Spillepengen norrut	SE_STA_CAMERA_PacificSouth_2500089
Sicklatunneln mynning	SE_STA_CAMERA_Orion_463
Sandsjöbacka faunabro söderut	SE_STA_CAMERA_PacificWest_4500145
Sköndal	SE_STA_CAMERA_Orion_338
Sege nordost	SE_STA_CAMERA_PacificSouth_2500049
Skansbron	SE_STA_CAMERA_Pacific_595
Lackarebäcksmotet N söderut	SE_STA_CAMERA_Orion_4500098
Sege sydväst	SE_STA_CAMERA_PacificSouth_2500048
Stallarholmen	SE_STA_CAMERA_Pacific_589
Stora Wäsby	SE_STA_CAMERA_Orion_378
Lackarebäcksmotet N norrut	SE_STA_CAMERA_Orion_4500099
Lackarebäcksmotet S norrut	SE_STA_CAMERA_Orion_4500101
Stava	SE_STA_CAMERA_Orion_443
Lackarebäcksmotet S söderut	SE_STA_CAMERA_Orion_4500102
Skogskyrkogården	SE_STA_CAMERA_Orion_335
Stora Frösunda	SE_STA_CAMERA_Pacific_545
Landskrona Norra Nordväst	SE_STA_CAMERA_Orion_2500041
Sveaplan/Roslagstull	SE_STA_CAMERA_Orion_313
Landskrona Norra Sydöst	SE_STA_CAMERA_Orion_2500042
Sveavägen norrut	SE_STA_CAMERA_Orion_308
Landskrona Södra Norr	SE_STA_CAMERA_Orion_2500043
Syrhålamotet sydöst	SE_STA_CAMERA_Orion_4500059
Sockenvägen	SE_STA_CAMERA_Orion_336
Sveavägen söderut	SE_STA_CAMERA_Orion_310
Sofiehill	SE_STA_CAMERA_Orion_558
Landskrona Södra Söder	SE_STA_CAMERA_Orion_2500044
Syrhålamotet väst	SE_STA_CAMERA_Orion_4500058
Torpamotet österut	SE_STA_CAMERA_PacificWest_4500131
Torrekullamotet Södra söderut	SE_STA_CAMERA_PacificWest_4500126
Torpmotet norrut	SE_STA_CAMERA_Orion_4500086
Torpmotet österut	SE_STA_CAMERA_Orion_4500087
Söderköping S	SE_STA_CAMERA_Pacific_465
Torrekullamotet Södra norrut	SE_STA_CAMERA_PacificWest_4500125
Brottby	SE_STA_CAMERA_Orion_439
Tpl Fredhäll	SE_STA_CAMERA_Orion_366
Tpl Arninge	SE_STA_CAMERA_Orion_263
Tpl Glädjen	SE_STA_CAMERA_Orion_380
Tpl Barkarby östra	SE_STA_CAMERA_Pacific_516
Tpl Barkarby	SE_STA_CAMERA_Orion_488
Tpl Lugnet	SE_STA_CAMERA_Orion_350
Tpl Kungens kurva	SE_STA_CAMERA_Orion_412
Tpl Länna	SE_STA_CAMERA_Pacific_526
Tpl Kungsängen	SE_STA_CAMERA_Orion_440
Talltunneln mynning	SE_STA_CAMERA_Orion_328
Tappströmsbron	SE_STA_CAMERA_Orion_451
Tpl Kvarnholmen	SE_STA_CAMERA_Orion_347
Tpl Bergshamra norra	SE_STA_CAMERA_Pacific_583
Tpl Moraberg	SE_STA_CAMERA_Orion_501
Tpl Haga södra	SE_STA_CAMERA_Pacific_590
Tpl Lahäll	SE_STA_CAMERA_Orion_266
Tpl Bergshamra södra	SE_STA_CAMERA_Pacific_582
Tpl Gubbängen	SE_STA_CAMERA_Orion_334
Tpl Bergshamra östra	SE_STA_CAMERA_Pacific_584
Tpl Bergshamra västra	SE_STA_CAMERA_Pacific_576
Tingstadstunneln N	SE_STA_CAMERA_Orion_4500110
Tpl Linvävartorpet	SE_STA_CAMERA_Orion_574
Tpl Märsta	SE_STA_CAMERA_Orion_376
Tpl Larsboda	SE_STA_CAMERA_Pacific_520
Tpl Hallunda	SE_STA_CAMERA_Orion_466
Tpl Handen	SE_STA_CAMERA_Pacific_524
Tpl Linvävartorpet norra	SE_STA_CAMERA_Orion_573
Tpl Linvävartorpet södra	SE_STA_CAMERA_Orion_575
Tpl Nacka	SE_STA_CAMERA_Orion_345
Tingstadstunneln S	SE_STA_CAMERA_Orion_4500111
Tpl Hjulsta östra	SE_STA_CAMERA_Orion_515
Bäckebol Norra norrut	SE_STA_CAMERA_Orion_4500012
Tpl Ropsten	SE_STA_CAMERA_0_604
Tpl Jakobsberg	SE_STA_CAMERA_Orion_487
Bäckebol Norra söderut	SE_STA_CAMERA_Orion_4500011
Tomteboda Postterminal	SE_STA_CAMERA_0_599
Tpl Danderyds sjukhus N	SE_STA_CAMERA_Pacific_533
Tpl Jordbro	SE_STA_CAMERA_Pacific_525
Tpl Danderyds kyrka	SE_STA_CAMERA_Orion_268
Tpl Kallhäll	SE_STA_CAMERA_Orion_486
Tpl Rinkeby mot Rissne	SE_STA_CAMERA_Pacific_512
Tpl Nybygget	SE_STA_CAMERA_Orion_386
Torpamotet västerut	SE_STA_CAMERA_PacificWest_4500132
Tpl Rosenkälla	SE_STA_CAMERA_Orion_262
Tpl Ropsten	SE_STA_CAMERA_0_603
Tpl Farsta	SE_STA_CAMERA_Orion_333
Tpl Karlberg	SE_STA_CAMERA_0_601
Tpl Danderyds sjukhus S	SE_STA_CAMERA_Orion_269
Tpl Viggbyholm	SE_STA_CAMERA_Orion_264
Tpl Karlberg Västra	SE_STA_CAMERA_0_600
Tpl Tomteboda Södra	SE_STA_CAMERA_0_597
Tpl Tensta östra	SE_STA_CAMERA_Pacific_514
Tpl Tureberg	SE_STA_CAMERA_Orion_383
Tpl Kista	SE_STA_CAMERA_Orion_455
Tpl Kista mot Rinkeby	SE_STA_CAMERA_Orion_452
Bulltofta västerut	SE_STA_CAMERA_Orion_2500003
Tpl Tomteboda Östra	SE_STA_CAMERA_0_598
Trafikplats Hägernäs	SE_STA_CAMERA_Pacific_518
Trafikplats Hagbylund	SE_STA_CAMERA_Orion_353
Asptuna	SE_STA_CAMERA_Orion_422
Tpl Trångsund	SE_STA_CAMERA_Pacific_521
Trafikplats Järva krog	SE_STA_CAMERA_Pacific_541
Tullen	SE_STA_CAMERA_Orion_504
Tumba centrum	SE_STA_CAMERA_Pacific_594
Trafikplats Inverness	SE_STA_CAMERA_Orion_562
Trafikplats Järva krog N	SE_STA_CAMERA_Pacific_540
Tpl Åbyvägen mot E4/E20	SE_STA_CAMERA_Orion_326
Ullundatunneln öst	SE_STA_CAMERA_Orion_403
Trafikplats Järva krog S	SE_STA_CAMERA_Pacific_548
Ullnasjön	SE_STA_CAMERA_Orion_563
Tpl Åbyvägen mot Södra länken	SE_STA_CAMERA_Orion_461
Ullundatunneln väst	SE_STA_CAMERA_Orion_404
Tuvängen	SE_STA_CAMERA_Orion_505
Trafikplats Saltskog	SE_STA_CAMERA_Orion_569
Tpl Ösmo	SE_STA_CAMERA_Orion_388
Willinsbron Norrut	SE_STA_CAMERA_Orion_4500016
Törnskogstunneln Ö	SE_STA_CAMERA_Orion_462
Trafikplats Skvaltan	SE_STA_CAMERA_Orion_565
Tpl Ärvinge södra	SE_STA_CAMERA_Pacific_511
Ulriksdals golfbana	SE_STA_CAMERA_Pacific_538
Ulricehamnstunneln österut	SE_STA_CAMERA_Orion_4500105
Ulricehamn bro österut	SE_STA_CAMERA_PacificWest_4500120
Ulricehamnstunneln västerut	SE_STA_CAMERA_Orion_4500106
Tpl Ärvinge norra	SE_STA_CAMERA_Pacific_510
Willinsbron Söderut	SE_STA_CAMERA_Orion_4500015
Botkyrkabacken	SE_STA_CAMERA_Orion_420
